Date,Time,Open,High,Low,Close,Volume
2016.03.29,0:00,113.265,113.467,113.26,113.433,9213
2016.03.29,4:00,113.43,113.658,113.223,113.566,21821
2016.03.29,8:00,113.566,113.732,113.427,113.618,19750
2016.03.29,12:00,113.618,113.799,113.471,113.645,26521
2016.03.29,16:00,113.646,113.689,113.239,113.394,29173
2016.03.29,20:00,113.397,113.457,112.738,112.748,28687
2016.03.30,0:00,112.745,112.802,112.607,112.787,12686
2016.03.30,4:00,112.786,112.786,112.39,112.481,22766
2016.03.30,8:00,112.48,112.538,112.214,112.309,21703
2016.03.30,12:00,112.31,112.399,112.012,112.319,27240
2016.03.30,16:00,112.319,112.672,112.207,112.423,34504
2016.03.30,20:00,112.423,112.64,112.399,112.464,23217
2016.03.31,0:00,112.463,112.506,112.325,112.377,11343
2016.03.31,4:00,112.378,112.657,112.238,112.401,23368
2016.03.31,8:00,112.401,112.485,112.148,112.435,23023
2016.03.31,12:00,112.432,112.497,112.201,112.3,22296
2016.03.31,16:00,112.3,112.53,112.105,112.431,36211
2016.03.31,20:00,112.431,112.573,112.415,112.539,17670
2016.04.01,0:00,112.542,112.599,112.476,112.512,8448
2016.04.01,4:00,112.514,112.527,112.056,112.298,26376
2016.04.01,8:00,112.299,112.413,112.133,112.281,24104
2016.04.01,12:00,112.281,112.422,112.036,112.113,24044
2016.04.01,16:00,112.114,112.451,111.82,112.056,42308
2016.04.01,20:00,112.056,112.079,111.586,111.643,23790
2016.04.02,0:00,111.643,111.659,111.583,111.61,2458
2016.04.04,0:00,111.585,111.792,111.558,111.689,5540
2016.04.04,4:00,111.689,111.716,111.315,111.45,23102
2016.04.04,8:00,111.45,111.615,111.316,111.585,23276
2016.04.04,12:00,111.586,111.737,111.503,111.596,22295
2016.04.04,16:00,111.597,111.601,111.117,111.181,31731
2016.04.04,20:00,111.181,111.369,111.093,111.313,18908
2016.04.05,0:00,111.313,111.352,111.165,111.221,9924
2016.04.05,4:00,111.222,111.269,110.777,110.846,26450
2016.04.05,8:00,110.848,111.052,110.294,110.464,34364
2016.04.05,12:00,110.464,110.801,110.264,110.653,29816
2016.04.05,16:00,110.653,110.705,109.948,110.069,39901
2016.04.05,20:00,110.073,110.542,110.073,110.309,24813
2016.04.06,0:00,110.312,110.402,110.227,110.369,9401
2016.04.06,4:00,110.369,110.639,110.258,110.451,22565
2016.04.06,8:00,110.451,110.494,110.232,110.405,23468
2016.04.06,12:00,110.403,110.539,110.252,110.401,23490
2016.04.06,16:00,110.401,110.442,109.579,109.633,44088
2016.04.06,20:00,109.633,109.766,109.335,109.75,25996
2016.04.07,0:00,109.749,109.827,109.637,109.718,9169
2016.04.07,4:00,109.716,109.901,109.098,109.283,31626
2016.04.07,8:00,109.283,109.301,108.516,108.564,34751
2016.04.07,12:00,108.564,108.677,108.014,108.543,35102
2016.04.07,16:00,108.542,108.543,107.665,107.987,46734
2016.04.07,20:00,107.987,108.444,107.981,108.389,27840
2016.04.08,0:00,108.393,108.482,108.074,108.472,10633
2016.04.08,4:00,108.475,108.986,108.466,108.646,31557
2016.04.08,8:00,108.646,109.094,108.61,109.052,28432
2016.04.08,12:00,109.05,109.093,108.599,108.61,25630
2016.04.08,16:00,108.609,108.912,108.198,108.374,38477
2016.04.08,20:00,108.374,108.461,108.15,108.167,23016
2016.04.09,0:00,108.165,108.199,107.99,108.022,3075
2016.04.11,0:00,107.965,108.327,107.952,108.291,10004
2016.04.11,4:00,108.291,108.319,107.625,107.851,31493
2016.04.11,8:00,107.851,108.106,107.686,108.058,28148
2016.04.11,12:00,108.058,108.34,108.013,108.243,27077
2016.04.11,16:00,108.244,108.437,107.787,107.963,36279
2016.04.11,20:00,107.962,108.118,107.869,107.902,20052
2016.04.12,0:00,107.902,108.014,107.866,107.945,7191
2016.04.12,4:00,107.945,108.274,107.887,108.145,28007
2016.04.12,8:00,108.145,108.408,108.118,108.202,22398
2016.04.12,12:00,108.201,108.41,108.104,108.318,25814
2016.04.12,16:00,108.318,108.679,108.218,108.552,39781
2016.04.12,20:00,108.552,108.782,108.437,108.458,18008
2016.04.13,0:00,108.458,108.697,108.454,108.697,10795
2016.04.13,4:00,108.697,108.905,108.536,108.841,23131
2016.04.13,8:00,108.84,109.041,108.748,108.919,22846
2016.04.13,12:00,108.919,109.388,108.919,109.349,26536
2016.04.13,16:00,109.349,109.401,109.019,109.21,34925
2016.04.13,20:00,109.21,109.346,109.136,109.263,15863
2016.04.14,0:00,109.265,109.457,109.247,109.427,10637
2016.04.14,4:00,109.427,109.542,109.283,109.386,21667
2016.04.14,8:00,109.386,109.504,109.294,109.309,23018
2016.04.14,12:00,109.309,109.392,109.054,109.387,23174
2016.04.14,16:00,109.387,109.451,108.891,109.198,34187
2016.04.14,20:00,109.198,109.438,109.109,109.417,13841
2016.04.15,0:00,109.418,109.461,109.281,109.33,9576
2016.04.15,4:00,109.33,109.729,109.299,109.634,21262
2016.04.15,8:00,109.636,109.67,109.213,109.299,19438
2016.04.15,12:00,109.299,109.417,108.793,108.876,19997
